"filename", "language", "PHP", "JSON", "CSS", "Markdown", "JavaScript", "XML", "SCSS", "comment", "blank", "total"
"/Users/vivek/project/my-project/README.md", "Markdown", 0, 0, 0, 124, 0, 0, 0, 0, 50, 174
"/Users/vivek/project/my-project/app/Console/Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 7, 6, 28
"/Users/vivek/project/my-project/app/Exceptions/Handler.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 9, 5, 31
"/Users/vivek/project/my-project/app/Http/Controllers/Admin/AdminController.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/vivek/project/my-project/app/Http/Controllers/Admin/PermissionController.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 21, 18, 95
"/Users/vivek/project/my-project/app/Http/Controllers/Admin/ProfileController.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 8, 22, 112
"/Users/vivek/project/my-project/app/Http/Controllers/Admin/RoleController.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 23, 78
"/Users/vivek/project/my-project/app/Http/Controllers/Admin/UserController.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 46, 16, 122
"/Users/vivek/project/my-project/app/Http/Controllers/Auth/ConfirmPasswordController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"/Users/vivek/project/my-project/app/Http/Controllers/Auth/ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"/Users/vivek/project/my-project/app/Http/Controllers/Auth/LoginController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"/Users/vivek/project/my-project/app/Http/Controllers/Auth/RegisterController.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 32, 9, 74
"/Users/vivek/project/my-project/app/Http/Controllers/Auth/ResetPasswordController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 15, 6, 31
"/Users/vivek/project/my-project/app/Http/Controllers/Auth/VerificationController.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 20, 7, 43
"/Users/vivek/project/my-project/app/Http/Controllers/AuthController.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 6, 17, 88
"/Users/vivek/project/my-project/app/Http/Controllers/Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/vivek/project/my-project/app/Http/Controllers/HomeController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 10, 5, 29
"/Users/vivek/project/my-project/app/Http/Controllers/MovieController.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 3, 8, 43
"/Users/vivek/project/my-project/app/Http/Kernel.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 20, 8, 69
"/Users/vivek/project/my-project/app/Http/Middleware/Authenticate.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 3, 4, 18
"/Users/vivek/project/my-project/app/Http/Middleware/EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"/Users/vivek/project/my-project/app/Http/Middleware/PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"/Users/vivek/project/my-project/app/Http/Middleware/RedirectIfAuthenticated.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 6, 31
"/Users/vivek/project/my-project/app/Http/Middleware/TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 5, 4, 20
"/Users/vivek/project/my-project/app/Http/Middleware/TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 4, 21
"/Users/vivek/project/my-project/app/Http/Middleware/TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 10, 5, 29
"/Users/vivek/project/my-project/app/Http/Middleware/ValidateSignature.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 11, 4, 23
"/Users/vivek/project/my-project/app/Http/Middleware/VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"/Users/vivek/project/my-project/app/Http/Requests/StorePermissionRequest.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 8, 5, 29
"/Users/vivek/project/my-project/app/Models/Favorite.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/vivek/project/my-project/app/Models/User.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 16, 7, 48
"/Users/vivek/project/my-project/app/Models/UserMovieStatus.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/vivek/project/my-project/app/Providers/AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 8, 5, 25
"/Users/vivek/project/my-project/app/Providers/AuthServiceProvider.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 11, 5, 27
"/Users/vivek/project/my-project/app/Providers/BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 3, 5, 20
"/Users/vivek/project/my-project/app/Providers/EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 12, 6, 39
"/Users/vivek/project/my-project/app/Providers/RouteServiceProvider.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 10, 8, 44
"/Users/vivek/project/my-project/bootstrap/app.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 30, 9, 56
"/Users/vivek/project/my-project/composer.json", "JSON", 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/vivek/project/my-project/composer.lock", "JSON", 0, 8496, 0, 0, 0, 0, 0, 0, 1, 8497
"/Users/vivek/project/my-project/config/app.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 131, 31, 189
"/Users/vivek/project/my-project/config/auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 74, 14, 116
"/Users/vivek/project/my-project/config/breadcrumbs.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 52, 14, 76
"/Users/vivek/project/my-project/config/broadcasting.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 23, 13, 72
"/Users/vivek/project/my-project/config/cache.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 34, 19, 112
"/Users/vivek/project/my-project/config/cors.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 12, 12, 35
"/Users/vivek/project/my-project/config/database.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 47, 22, 152
"/Users/vivek/project/my-project/config/devstarit.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/vivek/project/my-project/config/filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 32, 13, 77
"/Users/vivek/project/my-project/config/hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 32, 9, 53
"/Users/vivek/project/my-project/config/logging.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 34, 19, 132
"/Users/vivek/project/my-project/config/mail.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 53, 19, 126
"/Users/vivek/project/my-project/config/permission.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 91, 41, 162
"/Users/vivek/project/my-project/config/queue.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 42, 17, 110
"/Users/vivek/project/my-project/config/sanctum.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 41, 12, 68
"/Users/vivek/project/my-project/config/services.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 11, 7, 35
"/Users/vivek/project/my-project/config/session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 147, 33, 202
"/Users/vivek/project/my-project/config/view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 20, 7, 37
"/Users/vivek/project/my-project/database/factories/UserFactory.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 11, 5, 39
"/Users/vivek/project/my-project/database/migrations/2014_10_12_000000_create_users_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
"/Users/vivek/project/my-project/database/migrations/2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"/Users/vivek/project/my-project/database/migrations/2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"/Users/vivek/project/my-project/database/migrations/2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 6, 4, 33
"/Users/vivek/project/my-project/database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
"/Users/vivek/project/my-project/database/migrations/2023_06_20_033844_create_permission_tables.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 10, 24, 142
"/Users/vivek/project/my-project/database/migrations/2024_11_13_012305_create_favorites_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"/Users/vivek/project/my-project/database/migrations/2024_11_13_012309_create_user_movie_statuses_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"/Users/vivek/project/my-project/database/seeders/DatabaseSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 9, 6, 26
"/Users/vivek/project/my-project/database/seeders/PermissionsTableSeeder.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 3, 5, 36
"/Users/vivek/project/my-project/database/seeders/UsersTableSeeder.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 4, 8, 38
"/Users/vivek/project/my-project/package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/vivek/project/my-project/phpunit.xml", "XML", 0, 0, 0, 0, 0, 29, 0, 2, 1, 32
"/Users/vivek/project/my-project/public/css/custom.css", "CSS", 0, 0, 189, 0, 0, 0, 0, 5, 22, 216
"/Users/vivek/project/my-project/public/css/dashboard.css", "CSS", 0, 0, 165, 0, 0, 0, 0, 14, 41, 220
"/Users/vivek/project/my-project/public/index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 30, 12, 56
"/Users/vivek/project/my-project/public/js/color-modes.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 5, 16, 81
"/Users/vivek/project/my-project/resources/css/app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vivek/project/my-project/resources/js/app.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/vivek/project/my-project/resources/js/bootstrap.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 22, 8, 34
"/Users/vivek/project/my-project/resources/sass/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 2, 2, 8
"/Users/vivek/project/my-project/resources/sass/app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 3, 3, 9
"/Users/vivek/project/my-project/resources/views/admin/includes/breadcrumb.blade.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/vivek/project/my-project/resources/views/admin/includes/flash.blade.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/vivek/project/my-project/resources/views/admin/includes/footer.blade.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/vivek/project/my-project/resources/views/admin/includes/navbar.blade.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/vivek/project/my-project/resources/views/admin/includes/sidebar.blade.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 0, 3, 107
"/Users/vivek/project/my-project/resources/views/admin/index.blade.php", "PHP", 159, 0, 0, 0, 0, 0, 0, 0, 3, 162
"/Users/vivek/project/my-project/resources/views/admin/permissions/create.blade.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/vivek/project/my-project/resources/views/admin/permissions/edit.blade.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/vivek/project/my-project/resources/views/admin/permissions/index.blade.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 0, 6, 80
"/Users/vivek/project/my-project/resources/views/admin/profile/change-password.blade.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/vivek/project/my-project/resources/views/admin/profile/edit.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/vivek/project/my-project/resources/views/admin/roles/create.blade.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 0, 8, 79
"/Users/vivek/project/my-project/resources/views/admin/roles/edit.blade.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 9, 81
"/Users/vivek/project/my-project/resources/views/admin/roles/index.blade.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 7, 88
"/Users/vivek/project/my-project/resources/views/admin/users/create.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 3, 52
"/Users/vivek/project/my-project/resources/views/admin/users/index.blade.php", "PHP", 90, 0, 0, 0, 0, 0, 0, 0, 2, 92
"/Users/vivek/project/my-project/resources/views/auth/login.blade.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 13, 74
"/Users/vivek/project/my-project/resources/views/auth/passwords/confirm.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 9, 50
"/Users/vivek/project/my-project/resources/views/auth/passwords/email.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"/Users/vivek/project/my-project/resources/views/auth/passwords/reset.blade.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 13, 66
"/Users/vivek/project/my-project/resources/views/auth/register.blade.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 15, 78
"/Users/vivek/project/my-project/resources/views/auth/verify.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/vivek/project/my-project/resources/views/home.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
